,contrast,dissimilarity,homogeneity,ASM,energy,correlation,SRE,LRE,GLU,RLU,RPC,class
0,1246.6439148791915,11.979189780571993,0.799156975843303,0.3617244909732816,0.6014353589316823,0.7175964308833617,1.63,5629.021,7530.316,16462.36,23.716,0
1,1225.7155140532545,11.615215113412228,0.8075443045029828,0.36593142684357693,0.6049226618697443,0.7149775306735577,1.611,5870.977,7759.47,15719.644,23.033,0
2,996.4585721770218,10.071614583333334,0.8300581274933743,0.4432808578885551,0.665793404810047,0.6807473576956118,1.743,7440.006,8320.351,16857.419,21.516,0
3,951.5998905941815,9.680111254930967,0.8357094877170193,0.45339256504240005,0.6733443138858455,0.6852720031441023,1.717,7771.06,8569.443,16014.342,20.925,0
4,890.0727009368836,9.26416111932939,0.8394265807933055,0.46369491318688894,0.6809514763820466,0.6937873136901767,1.71,8207.277,8896.347,15309.346,20.185,0
5,877.2001818293887,9.073024531558188,0.8449104703724127,0.4663098726839896,0.682868854674153,0.6984824881373364,1.734,8474.619,9058.297,15347.006,19.78,0
6,817.7038800542405,8.686929857001973,0.8487539998007149,0.4649492698119065,0.6818718866560686,0.7123298285485297,1.713,8882.052,9296.853,14709.57,19.277,0
7,787.9800064718936,8.728080313116372,0.8429819383002161,0.47105650304859903,0.6863355615503243,0.7071381537799659,1.677,8783.823,9083.88,14672.203,19.73,0
8,775.1147297214004,8.621217024161735,0.8431792093622552,0.4789760623539491,0.6920809651723916,0.6982704940559394,1.646,8989.714,9154.552,14100.187,19.557,0
9,726.8635509122287,8.39869175295858,0.8448423525823908,0.48881099079666135,0.6991501918734353,0.7003791599735237,1.623,9434.989,9370.091,13587.445,19.127,0
10,691.9947608481262,8.076537845167653,0.850501059080907,0.5023108795495946,0.7087389361038341,0.6952205885231886,1.597,10259.785,9892.245,12640.588,18.118,0
11,1071.0773622411243,11.704080374753454,0.7883239292777311,0.38013974786678023,0.6165547403651847,0.7743252248198164,1.691,5145.375,6621.892,20842.857,26.993,0
12,1032.4213741987182,11.630354721400398,0.7862070018302424,0.37425969405521314,0.6117676798059972,0.7679410543934361,1.686,5154.108,6683.587,20486.054,26.747,0
13,923.1497241740634,10.947076861439843,0.7915591847015847,0.3802515842735487,0.6166454283245346,0.720748159092228,1.597,5453.296,7131.503,17717.071,25.123,0
14,921.089967024162,10.632928069526626,0.7996626216091078,0.3871483027220142,0.6222124257213241,0.7070894779143123,1.608,5588.735,7276.286,17412.2,24.585,0
15,956.7896172337278,10.4076137204142,0.8111593649023647,0.3971412601437334,0.6301914472156326,0.6962009818160516,1.667,5831.44,7520.806,17655.636,23.736,0
16,949.0081052761342,10.551004684418146,0.8044830069244944,0.39896287483231446,0.6316350804319805,0.6872578896038285,1.624,5714.212,7354.046,17273.251,24.268,0
